Name,Brand,Gender,Main_Notes,Accords
Bleu de Chanel,Chanel,Men,"Citrus, Ginger, Sandalwood, Cedar, Labdanum",Fresh Woody
Sauvage,Dior,Men,"Bergamot, Pepper, Ambroxan, Patchouli, Cedar",Fresh Spicy
Aventus,Creed,Men,"Blackcurrant, Bergamot, Pineapple, Birch, Oakmoss",Fruity Chypre
Oud Wood,Tom Ford,Unisex,"Oud, Rosewood, Cardamom, Sandalwood, Vanilla",Woody Oriental
La Vie Est Belle,Lancôme,Women,"Iris, Patchouli, Gourmand, Praline, Vanilla",Floral Gourmand
Black Orchid,Tom Ford,Unisex,"Black Orchid, Patchouli, Truffle, Ylang-Ylang, Sandalwood",Floral Oriental
Acqua di Giò,Giorgio Armani,Men,"Bergamot, Rosemary, Neroli, Patchouli, Musk",Aquatic Fresh
J'adore,Dior,Women,"Rose, Ylang-Ylang, Jasmine, Orchid, Musk",Floral
Chanel No. 5,Chanel,Women,"Aldehydes, Ylang-Ylang, Rose, Jasmine, Sandalwood",Floral Aldehyde
Tobacco Vanille,Tom Ford,Unisex,"Tobacco, Vanilla, Tonka Bean, Cocoa, Dried Fruit",Warm Spicy
Baccarat Rouge 540,Maison Francis Kurkdjian,Unisex,"Saffron, Ambergris, Jasmine, Cedarwood, Fir Resin",Floral Woody Musk
Santal 33,Le Labo,Unisex,"Sandalwood, Cedar, Cardamom, Iris, Leather",Woody
Ombre Nomade,Louis Vuitton,Unisex,"Oud, Rose, Incense, Leather, Benzoin",Woody Oriental
Terre d'Hermès,Hermès,Men,"Grapefruit, Orange, Flint, Patchouli, Vetiver",Woody Fresh
Coco Mademoiselle,Chanel,Women,"Orange, Rose, Jasmine, Patchouli, White Musk",Floral Oriental
Mon Guerlain,Guerlain,Women,"Lavender, Vanilla, Sandalwood, Iris, Bergamot",Floral Oriental
Dylan Blue,Versace,Men,"Fig, Grapefruit, Violet, Papyrus, Musk",Aromatic Fresh
Silver Mountain Water,Creed,Men,"Bergamot, Mandarin, Green Tea, Neroli, Musk",Aquatic Fresh
Flowerbomb,Viktor & Rolf,Women,"Jasmine, Rose, Patchouli, Vanilla, Freesia",Floral Oriental
Very Good Girl,Carolina Herrera,Women,"Red Berries, Rose, Jasmine, Vanilla, Musk",Floral Fruity
Dior Homme Intense,Dior,Men,"Iris, Lavender, Ambrette, Pear, Vetiver",Floral Woody
YSL Libre,Yves Saint Laurent,Women,"Lavender, Mandarin, Jasmine, Musk, Vanilla",Floral Woody
Black Afgano,Nasomatto,Unisex,"Cannabis, Oud, Tobacco, Incense, Resin",Earthy Oriental
Molecule 01,Escentric Molecules,Unisex,"Iso E Super, Cedarwood, Woody Amber",Woody Musk
Aventus for Her,Creed,Women,"Peach, Bergamot, Rose, Musk, Sandalwood",Floral Fruity
Amber Oud,Al Haramain,Unisex,"Oud, Amber, Rose, Sandalwood, Musk",Oriental Woody
Gucci Bloom,Gucci,Women,"Tuberose, Jasmine, Rangoon Creeper, Orris, Musk",Floral
Portrait of a Lady,Frederic Malle,Women,"Rose, Incense, Sandalwood, Patchouli, Raspberry",Floral Woody
Roja Elixir,Roja Dove,Women,"Rose, Jasmine, Ylang-Ylang, Sandalwood, Musk",Floral Oriental
Bal d'Afrique,Byredo,Unisex,"Bergamot, Neroli, Marigold, Musk, Vetiver",Floral Musky
Oud Ispahan,Dior,Unisex,"Oud, Rose, Labdanum, Patchouli, Sandalwood",Woody Oriental
Viking,Creed,Men,"Pink Pepper, Lavender, Bergamot, Sandalwood, Musk",Fresh Aromatic
CH Men,Carolina Herrera,Men,"Tobacco, Tonka Bean, Cedar, Patchouli, Benzoin",Warm Woody
Narciso Rodriguez For Her,Narciso Rodriguez,Women,"Musk, Rose, Vetiver, Sandalwood, Patchouli",Musky Floral
Eternity,Calvin Klein,Women,"Rose, Lily of the Valley, Jasmine, Patchouli, Sandalwood",Floral
Invictus,Paco Rabanne,Men,"Grapefruit, Marine, Jasmine, Guaiac Wood, Oakmoss",Fresh Aquatic
Kilian Love Don't Be Shy,Kilian,Unisex,"Neroli, Iris, Caramel, Vanilla, Musk",Floral Gourmand
Angel,Mugler,Women,"Patchouli, Caramel, Vanilla, Chocolate, Bergamot",Floral Gourmand
Fahrenheit,Dior,Men,"Violet, Leather, Nutmeg, Cedar, Sandalwood",Woody Leather
L'Homme,Yves Saint Laurent,Men,"Ginger, Basil, Bergamot, Cedar, White Pepper",Fresh Spicy
Molecule 02,Escentric Molecules,Unisex,"Ambroxan, Ambergris, Sandalwood, Woody Musk",Woody Amber
Oud Satin Mood,Maison Francis Kurkdjian,Unisex,"Oud, Rose, Iris, Violet, Vanilla",Floral Woody
Interlude Man,Amouage,Men,"Oregano, Rose, Amber, Incense, Leather",Spicy Oriental
Memoir Man,Amouage,Men,"Absinthe, Bergamot, Sage, Sandalwood, Tobacco",Aromatic Woody
Carnal Flower,Frederic Malle,Unisex,"Tuberose, Coconut, Ylang-Ylang, Musk, Melon",Floral
Bergamote 22,Le Labo,Unisex,"Bergamot, Petitgrain, Grapefruit, Musk, Amber",Fresh Citrus
Vanille Fatale,Tom Ford,Unisex,"Vanilla, Saffron, Oud, Amber, Suede",Warm Oriental
Pour un Homme de Caron,Caron,Men,"Lavender, Vanilla, Musk, Amber, Tonka Bean",Aromatic Oriental
Olympéa,Paco Rabanne,Women,"Green Mandarin, Ginger, Jasmine, Vanilla, Cashmere Wood",Floral Woody
Miss Dior,Dior,Women,"Rose, Peony, Mandarin, Patchouli, White Musk",Floral Chypre
Acqua di Parma Colonia,Acqua di Parma,Men,"Bergamot, Lavender, Rosemary, Vetiver, Sandalwood",Fresh Citrus
Chloé Eau de Parfum,Chloé,Women,"Peony, Rose, Freesia, Magnolia, Amber",Floral
Rose Prick,Tom Ford,Unisex,"Rose, Patchouli, Pepper, Oud, Sandalwood",Floral Oriental
CH Good Girl,Carolina Herrera,Women,"Jasmine, Tonka Bean, Cocoa, Tuberose, Sandalwood",Floral Oriental
Bvlgari Man in Black,Bvlgari,Men,"Rum, Leather, Tobacco, Benzoin, Iris",Spicy Oriental
Eros,Versace,Men,"Mint, Lemon, Vanilla, Tonka Bean, Atlas Cedar",Fresh Aromatic
Light Blue,Dolce & Gabbana,Women,"Lemon, Apple, Cedar, Musk, Amber",Fresh Fruity
Kouros,Yves Saint Laurent,Men,"Aldehydes, Leather, Musk, Vetiver, Honey",Powdery Leather
Tuxedo,Yves Saint Laurent,Unisex,"Iris, Violet, Vetiver, Sandalwood, Musk",Floral Powdery
Molecule 08,Escentric Molecules,Unisex,"Cashmeran, Hedione, Rose, Woody Musk"],Soft Woody
Pegasus,Parfums de Marly,Men,"Almond, Bergamot, Lavender, Vanilla, Sandalwood",Aromatic Gourmand
Herod,Parfums de Marly,Men,"Tobacco, Vanilla, Cinnamon, Pepper, Oud",Warm Spicy
Delina,Parfums de Marly,Women,"Rose, Rhubarb, Lychee, Peony, Musk",Floral Fruity
Layton,Parfums de Marly,Men,"Apple, Lavender, Cardamom, Vanilla, Sandalwood",Aromatic Spicy
Whispers in the Library,Vilhelm Parfumerie,Unisex,"Tobacco, Leather, Vanilla, Sandalwood, Amber",Warm Woody
À La Rose,Maison Francis Kurkdjian,Women,"Rose, Musk, Peony, White Musk, Cedarwood",Floral
Reflection Man,Amouage,Men,"Neroli, Jasmine, Rose, Musk, Sandalwood",Fresh Floral
M7,Yves Saint Laurent,Men,"Oud, Vetiver, Mandarin, Cypress, Amber",Woody Oriental
MDCI Enlèvement au Sérail,MDCI Parfums,Women,"Rose, Oud, Saffron, Patchouli, Musk",Floral Oriental
Épice Marine,Hermès,Men,"Pepper, Saffron, Cumin, Cedar, Vetiver",Spicy Woody
Le Male,Jean Paul Gaultier,Men,"Lavender, Mint, Vanilla, Tonka Bean, Amber"],Aromatic Oriental
Classique,Jean Paul Gaultier,Women,"Ginger, Iris, Orange Blossom, Vanilla, Sandalwood",Floral Oriental
Rose Oud,Kilian,Unisex,"Rose, Oud, Patchouli, Musk, Incense",Floral Woody Oriental
Arabie,Serge Lutens,Unisex,"Cumin, Date, Patchouli, Rose, Amber",Oriental Gourmand
Feminite du Bois,Serge Lutens,Women,"Cedar, Plum, Peach, Cardamom, Civet",Woody Fruity
Muscs Koublaï Khän,Serge Lutens,Unisex,"Musk, Cumin, Civet, Leather, Amber",Musky Animal
L'Air du Désert Marocain,Tauer Perfumes,Unisex,"Ciste, Vetiver, Amber, Cedarwood, Cardamom",Woody Amber
Patchouli 24,Le Labo,Unisex,"Patchouli, Birch, Amber, Vanilla, Musk",Woody Smoky
Bergamot 22,Le Labo,Unisex,"Bergamot, Grapefruit, Petitgrain, Amber, Musk",Fresh Citrus
Rose 31,Le Labo,Unisex,"Rose, Cumin, Oud, Musk, Cedar",Floral Woody
Thé Noir 29,Le Labo,Unisex,"Black Tea, Fig, Vetiver, Musk, Cedar",Earthy Woody
Cuir de Russie,Chanel,Women,"Leather, Aldehydes, Iris, Ylang-Ylang, Vetiver",Leather Floral
No. 19,Chanel,Women,"Iris, Galbanum, Rose, Oakmoss, Vetiver",Green Floral
Egoïste,Chanel,Men,"Rose, Sandalwood, Cinnamon, Vanilla, Cedar",Woody Spicy
L'Interdit,Givenchy,Women,"White Flowers, Orange Blossom, Patchouli, Vetiver, Amber",Floral Woody
Gentleman,Givenchy,Men,"Iris, Leather, Patchouli, Bergamot, Sandalwood",Floral Leather
Encre Noire,Lalique,Men,"Vetiver, Cypress, Musk, Cashmere Wood, Ebony"],Woody Earthy
Pour Homme,Lalique,Men,"Anise, Tobacco, Cedar, Amber, Musk",Aromatic Spicy
Perles de Lalique,Lalique,Women,"Rose, Peony, White Musk, Cedar, Jasmine",Floral
Oud Silk Mood,Maison Francis Kurkdjian,Unisex,"Oud, Rose, Sandalwood, Musk, Amber",Woody Oriental
Lumière Noire,Maison Francis Kurkdjian,Women,"Rose, Patchouli, Musk, Vetiver, Jasmine",Floral Chypre
APOM Pour Femme,Maison Francis Kurkdjian,Women,"Orange Blossom, Musk, Patchouli, Cedarwood, Amber",Floral Woody
Grand Soir,Maison Francis Kurkdjian,Unisex,"Amber, Tonka Bean, Benzoin, Labdanum, Sandalwood",Amber Oriental
OUD 27,Le Labo,Unisex,"Oud, Incense, Vetiver, Cedar, Musk",Woody Oriental
Iris 39,Le Labo,Unisex,"Iris, Violet, Cedarwood, Musk, Amber",Floral Powdery
Vetiver 46,Le Labo,Unisex,"Vetiver, Grapefruit, Olibanum, Musk, Sandalwood",Earthy Woody
Another 13,Another Perfume,Unisex,"Ambroxan, Oakmoss, Musk, Jasmine, Sandalwood",Woody Musky
